"method","diagnostic","state","observed_statistic","simulated_median","simulated_q025","simulated_q975","p_value","sharpness_value","sharpness_label","interpretation_label","n_sims","n_effective","warning","model","model_label"
"M3_two_state_time","state_occupancy",2,0.0646868686868687,0.0437551020408163,0.00286054421768708,0.131481632653061,0.33,0.949122765389353,"moderate","pass_moderate",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_occupancy_total_variation",NA,0.0646868686868687,0.0437551020408163,0.00286054421768714,0.131481632653061,0.33,2.93956711424694,"diffuse","pass_diffuse",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_residence_time",1,6.64830763778132,5.25214822771214,4.2394462346342,12.5494977025898,0.21,1.58221952082135,"diffuse","pass_diffuse",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_residence_time",2,3.12005139110402,1.55124418188328,1.25302139276763,3.1556656522258,0.03,1.22652788607594,"moderate","fail",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","switching_rate",NA,0.0232850594296377,0.0170477829686091,0.000819604950413902,0.0452954675846242,0.24,0.807692230340244,"moderate","pass_moderate",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","transition_counts",NA,0.0931812720278342,0.0623089267132819,0.0108217010304014,0.185564240271525,0.33,2.8044538786661,"diffuse","pass_diffuse",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_conditioned_step_length",1,0.16668362988582,0.0161736937036725,0.0132653999642706,0.0253518765590578,0.01,0.747291827291401,"moderate","fail",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_conditioned_step_length",2,0.111175466514422,0.0878253677897179,0.0713456670642313,0.146374581376436,0.14,0.854296516570048,"moderate","pass_moderate",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_conditioned_turning_angle",1,0.00801276302188625,0.0228437579147161,0.00311144839669968,0.0747242768135547,0.87,1.80051552701435,"diffuse","pass_diffuse",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_conditioned_turning_angle",2,0.0574910290839371,0.0449562313437268,0.00117361272474391,0.146699450250817,0.42,0.405463843869643,"sharp","pass_sharp",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_conditioned_msd",1,726.264907274799,7.43051975333084,0.0516135655192415,157.121423762846,0.01,2.15997346816573,"diffuse","fail",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M3_two_state_time","state_conditioned_msd",2,322.086990183844,25.7194638248825,0.904327128785979,1109.15769378306,0.05,1.81322190807876,"diffuse","pass_diffuse",99,99,"","M3_two_state_time","M3 two-state time TPM"
"M4_three_state_fixed","ud_wasserstein",NA,12.9067788362831,10.9465710575904,8.1861743882633,19.1597274553644,0.24,1.00246488140845,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","msd",NA,29516.0366884972,892.169509918814,11.2453598413396,8245.37016253967,0.01,1.64279033709797,"diffuse","fail",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","sinuosity",NA,0.0988742649295207,0.0478769051438527,0.00418892076119552,0.131665765869781,0.13,2.22588589526195,"diffuse","pass_diffuse",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_occupancy",1,0.0153131313131314,0.0330204081632653,0.00069387755102035,0.121918367346939,0.78,0.347573834162861,"sharp","pass_sharp",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
"M4_three_state_fixed","state_occupancy",2,0.021010101010101,0.0131428571428571,0.0010204081632653,0.0434285714285714,0.37,1.18749981445315,"moderate","pass_moderate",99,99,"","M4_three_state_fixed","M4 three-state fixed TPM"
